"","term","Total"
"1","in the",33036
"2","for the",31474
"3","of the",24173
"4","on the",20568
"5","to be",19960
"6","to the",18407
"7","thanks for",18130
"8","at the",15923
"9","i love",14881
"10","going to",14437
"11","have a",14202
"12","if you",13949
"13","thank you",13853
"14","i have",13231
"15","i am",12665
"16","for a",12517
"17","i dont",12144
"18","to see",11567
"19","to get",11500
"20","is a",11284
"21","i was",10907
"22","i think",10396
"23","is the",10279
"24","a great",10023
"25","in a",9901
"26","i just",9720
"27","are you",9595
"28","have to",9370
"29","and i",9238
"30","it was",8822
"31","need to",8815
"32","i know",8250
"33","i can",8195
"34","do you",8128
"35","the best",8088
"36","but i",7905
"37","a good",7736
"38","all the",7720
"39","so much",7617
"40","to do",7513
"41","to go",7424
"42","i cant",7408
"43","be a",7367
"44","it is",7335
"45","in my",7190
"46","cant wait",7110
"47","on my",7014
"48","right now",6818
"49","i will",6635
"50","of my",6584
"51","one of",6523
"52","out of",6517
"53","this is",6463
"54","like a",6384
"55","i need",6367
"56","i want",6322
"57","love you",6281
"58","and the",6193
"59","go to",5844
"60","on a",5745
"61","see you",5648
"62","if i",5514
"63","had a",5465
"64","the same",5360
"65","from the",5154
"66","of a",5131
"67","follow me",5082
"68","im not",5021
"69","a lot",5011
"70","to my",4929
"71","for you",4912
"72","that i",4869
"73","to make",4837
"74","forward to",4824
"75","i got",4790
"76","to have",4676
"77","last night",4671
"78","i would",4657
"79","its a",4639
"80","to me",4638
"81","the world",4632
"82","i hope",4612
"83","time to",4540
"84","a new",4486
"85","i hate",4442
"86","so i",4440
"87","to you",4432
"88","back to",4428
"89","i get",4343
"90","for me",4335
"91","did you",4305
"92","to a",4293
"93","the new",4287
"94","i had",4249
"95","get a",4243
"96","i feel",4087
"97","the first",4058
"98","that is",4034
"99","i like",4033
"100","about the",4008
"101","the day",4001
"102","a little",3986
"103","is not",3888
"104","and a",3871
"105","should be",3836
"106","as a",3819
"107","is it",3725
"108","i could",3685
"109","looking forward",3683
"110","a few",3669
"111","i do",3655
"112","i wish",3645
"113","dont know",3634
"114","for my",3614
"115","check out",3609
"116","all of",3607
"117","happy birthday",3481
"118","they are",3479
"119","in your",3468
"120","the follow",3455
"121","hope you",3454
"122","there is",3433
"123","the way",3432
"124","the only",3404
"125","to all",3387
"126","me to",3378
"127","by the",3366
"128","good morning",3359
"129","do it",3351
"130","for your",3345
"131","let me",3325
"132","to hear",3288
"133","got a",3284
"134","be the",3254
"135","make it",3235
"136","i miss",3216
"137","at least",3201
"138","this weekend",3201
"139","love to",3186
"140","the most",3179
"141","that was",3172
"142","i didnt",3152
"143","how to",3145
"144","of your",3136
"145","is so",3126
"146","i really",3109
"147","not a",3098
"148","looking for",3093
"149","have you",3084
"150","ill be",3081
"151","on twitter",3061
"152","know what",3053
"153","this morning",3053
"154","are the",3036
"155","im so",3036
"156","on your",3029
"157","its not",3006
"158","this week",3003
"159","like the",2991
"160","im going",2981
"161","my life",2981
"162","to say",2969
"163","just got",2968
"164","that you",2962
"165","ready for",2960
"166","have been",2949
"167","like to",2930
"168","to work",2928
"169","out to",2921
"170","need a",2907
"171","is that",2901
"172","about to",2900
"173","is going",2898
"174","love it",2869
"175","of you",2862
"176","i thought",2857
"177","thanks to",2854
"178","feel like",2842
"179","such a",2837
"180","get to",2809
"181","me and",2808
"182","it to",2786
"183","ready to",2771
"184","im a",2737
"185","lot of",2734
"186","the last",2734
"187","the next",2716
"188","at pm",2696
"189","listening to",2690
"190","has been",2676
"191","love the",2674
"192","and you",2671
"193","looks like",2656
"194","i see",2619
"195","i guess",2606
"196","ive been",2601
"197","have the",2583
"198","good luck",2573
"199","be in",2543
"200","is my",2519
"201","kind of",2512
"202","dont have",2503
"203","me a",2503
"204","can you",2501
"205","more than",2491
"206","me i",2486
"207","out the",2480
"208","to come",2469
"209","miss you",2464
"210","part of",2459
"211","to your",2432
"212","this year",2428
"213","of our",2427
"214","to take",2426
"215","gonna be",2422
"216","get it",2419
"217","to know",2415
"218","has a",2401
"219","it out",2396
"220","as well",2379
"221","there are",2378
"222","to watch",2361
"223","for all",2352
"224","mothers day",2352
"225","the time",2349
"226","think i",2335
"227","of course",2316
"228","get the",2309
"229","can i",2285
"230","now i",2278
"231","to start",2275
"232","can be",2274
"233","he is",2274
"234","and im",2271
"235","time for",2266
"236","rt i",2255
"237","my favorite",2246
"238","the game",2242
"239","is on",2240
"240","having a",2238
"241","see the",2235
"242","about it",2230
"243","and then",2227
"244","am i",2215
"245","all day",2203
"246","come to",2201
"247","a big",2179
"248","my mom",2171
"249","but im",2168
"250","in this",2166
"251","i wanna",2150
"252","at a",2145
"253","i did",2136
"254","tell me",2134
"255","so far",2133
"256","no one",2128
"257","lots of",2125
"258","make a",2118
"259","take a",2098
"260","for following",2085
"261","to meet",2083
"262","had to",2082
"263","on this",2080
"264","if youre",2077
"265","able to",2071
"266","out there",2053
"267","my new",2046
"268","is in",2043
"269","that the",2022
"270","know how",2016
"271","so many",2016
"272","the end",2011
"273","some of",2008
"274","better than",2001
"275","excited to",1998
"276","do i",1997
"277","the rt",1992
"278","it up",1989
"279","day of",1986
"280","makes me",1985
"281","back in",1982
"282","lol i",1982
"283","next week",1976
"284","too much",1975
"285","like that",1972
"286","im in",1967
"287","just a",1957
"288","to follow",1948
"289","the other",1946
"290","talking about",1939
"291","and it",1934
"292","like it",1934
"293","it will",1926
"294","for this",1925
"295","it would",1901
"296","to find",1901
"297","if u",1890
"298","but it",1868
"299","i still",1864
"300","i should",1863
"301","its the",1863
"302","all my",1858
"303","a long",1847
"304","how much",1845
"305","not sure",1843
"306","follow back",1841
"307","he was",1840
"308","talk to",1838
"309","be there",1836
"310","me know",1835
"311","for some",1832
"312","i havent",1829
"313","dont want",1825
"314","of it",1819
"315","at all",1816
"316","good to",1813
"317","listen to",1801
"318","and my",1799
"319","me too",1796
"320","to win",1794
"321","not to",1792
"322","needs to",1791
"323","off to",1791
"324","great day",1788
"325","not the",1785
"326","are so",1784
"327","look at",1780
"328","the th",1778
"329","life is",1770
"330","i saw",1761
"331","so excited",1760
"332","come on",1759
"333","to our",1759
"334","is to",1758
"335","and get",1757
"336","be on",1757
"337","lets go",1757
"338","to help",1753
"339","how are",1751
"340","to sleep",1751
"341","but the",1746
"342","do not",1740
"343","day to",1739
"344","please follow",1737
"345","time i",1737
"346","into the",1733
"347","know i",1730
"348","sounds like",1730
"349","it in",1729
"350","to play",1728
"351","and we",1718
"352","the show",1715
"353","a day",1711
"354","got to",1704
"355","have no",1702
"356","because i",1699
"357","can do",1694
"358","today is",1692
"359","the one",1691
"360","could be",1689
"361","shout out",1678
"362","for our",1673
"363","to talk",1670
"364","over the",1666
"365","im gonna",1662
"366","dont think",1660
"367","all i",1653
"368","im just",1652
"369","end of",1644
"370","how many",1644
"371","hard to",1643
"372","but its",1639
"373","been a",1638
"374","and its",1635
"375","make sure",1631
"376","must be",1626
"377","tonight at",1624
"378","is your",1622
"379","make me",1620
"380","at work",1619
"381","thats a",1604
"382","i never",1603
"383","people who",1602
"384","social media",1601
"385","a bit",1600
"386","it on",1599
"387","know that",1598
"388","like you",1597
"389","glad you",1593
"390","off the",1592
"391","of this",1589
"392","out for",1585
"393","for that",1572
"394","like i",1571
"395","to keep",1567
"396","going on",1566
"397","as i",1561
"398","from a",1561
"399","are a",1553
"400","first time",1544
"401","how do",1536
"402","of them",1535
"403","can get",1533
"404","just saw",1530
"405","know if",1528
"406","but you",1524
"407","on it",1524
"408","it i",1522
"409","my phone",1522
"410","the word",1522
"411","its been",1518
"412","on that",1518
"413","is just",1510
"414","is this",1504
"415","have an",1496
"416","dont forget",1490
"417","the rest",1475
"418","of all",1471
"419","on our",1469
"420","is like",1461
"421","congrats to",1453
"422","at my",1452
"423","the right",1451
"424","my friend",1450
"425","rt if",1448
"426","know you",1447
"427","it all",1437
"428","a while",1436
"429","at am",1436
"430","might be",1433
"431","is an",1427
"432","happy mothers",1426
"433","me up",1426
"434","glad to",1420
"435","for it",1418
"436","of us",1418
"437","to give",1417
"438","me on",1415
"439","my first",1414
"440","to it",1413
"441","and your",1412
"442","me in",1412
"443","they have",1412
"444","in our",1407
"445","hope to",1406
"446","love that",1406
"447","great to",1401
"448","for an",1399
"449","here in",1395
"450","get your",1392
"451","dont like",1387
"452","of those",1387
"453","it and",1385
"454","should have",1384
"455","excited for",1383
"456","if it",1379
"457","the whole",1377
"458","thats what",1376
"459","instead of",1374
"460","out and",1372
"461","happy to",1371
"462","i mean",1370
"463","think of",1367
"464","much for",1365
"465","a very",1361
"466","so good",1359
"467","i always",1357
"468","nice to",1357
"469","that would",1357
"470","theres a",1348
"471","get my",1343
"472","my friends",1341
"473","talk about",1340
"474","be at",1333
"475","love your",1332
"476","in love",1327
"477","look like",1326
"478","got the",1324
"479","have fun",1321
"480","as the",1320
"481","about you",1316
"482","dont get",1315
"483","how you",1315
"484","coming to",1311
"485","i wonder",1307
"486","a couple",1306
"487","cant believe",1305
"488","rest of",1304
"489","are not",1303
"490","the people",1303
"491","how i",1301
"492","if they",1299
"493","sure to",1296
"494","do the",1295
"495","live in",1292
"496","to bed",1287
"497","if we",1283
"498","today i",1283
"499","a man",1281
"500","call me",1281
"501","and not",1275
"502","do that",1275
"503","thanks so",1273
"504","let us",1272
"505","that one",1270
"506","join us",1269
"507","a nice",1267
"508","day in",1267
"509","getting ready",1262
"510","if the",1260
"511","is there",1260
"512","to use",1258
"513","a bad",1257
"514","she is",1257
"515","and now",1254
"516","got my",1254
"517","to for",1254
"518","of me",1252
"519","being a",1244
"520","to stop",1241
"521","the morning",1234
"522","so happy",1233
"523","my day",1228
"524","it a",1227
"525","new york",1223
"526","those who",1223
"527","i say",1221
"528","my head",1219
"529","the weekend",1218
"530","may be",1214
"531","then i",1213
"532","is now",1210
"533","an amazing",1209
"534","im sure",1209
"535","is no",1206
"536","see it",1201
"537","give me",1199
"538","from my",1193
"539","away from",1191
"540","did i",1189
"541","my way",1188
"542","think about",1186
"543","i go",1185
"544","but not",1181
"545","love my",1177
"546","next time",1175
"547","people are",1172
"548","stop by",1171
"549","one day",1169
"550","to tell",1165
"551","think its",1161
"552","new year",1160
"553","it for",1157
"554","my heart",1157
"555","out on",1157
"556","are going",1154
"557","and they",1150
