"","term","Total"
"1","cant wait to see",1313
"2","going to be a",804
"3","i cant wait to",767
"4","for the first time",704
"5","hope to see you",637
"6","have a great day",601
"7","i dont want to",569
"8","have a great weekend",539
"9","are you going to",536
"10","happy mothers day to",529
"11","at the end of",496
"12","hope you have a",463
"13","at the same time",431
"14","i am going to",430
"15","had a great time",404
"16","for the shout out",388
"17","cant wait for the",385
"18","hope all is well",360
"19","i dont know what",358
"20","i cant wait for",338
"21","do you have a",328
"22","can i get a",321
"23","cant wait to get",313
"24","for the rest of",299
"25","hope you had a",293
"26","i have no idea",271
"27","did you know that",242
"28","i feel like i",240
"29","do you want to",233
"30","awkward moment when you",232
"31","great to see you",232
"32","cant wait to hear",224
"33","i dont even know",222
"34","forward to seeing you",220
"35","i dont know how",220
"36","i dont know if",214
"37","be a part of",213
"38","day to all the",212
"39","am i the only",211
"40","i feel like im",210
"41","a chance to win",200
"42","as much as i",200
"43","a lot of people",196
"44","have a lot of",194
"45","dont know how to",193
"46","i dont have to",191
"47","happy birthday to my",189
"48","a great way to",187
"49","for a chance to",185
"50","i dont have a",185
"51","i hate it when",184
"52","good to see you",181
"53","i dont know why",181
"54","i have to go",181
"55","have a good day",178
"56","for the follow i",174
"57","how have you been",174
"58","i dont think i",173
"59","have to go to",172
"60","i hope you have",170
"61","are going to be",169
"62","going to have to",168
"63","by the end of",167
"64","i have to say",167
"65","dont know what to",166
"66","dont want to be",165
"67","as soon as i",164
"68","be a good day",164
"69","do you have any",164
"70","for the kind words",164
"71","i hate when people",163
"72","great to meet you",160
"73","hope everyone has a",156
"74","i feel like a",156
"75","everyone who came out",154
"76","have no idea what",154
"77","how much i love",152
"78","have a great week",150
"79","and thanks for the",147
"80","a lot of fun",146
"81","for the heads up",146
"82","have a great time",146
"83","for the follow and",140
"84","have a good one",140
"85","i just finished a",135
"86","i had no idea",134
"87","going to be the",133
"88","how are you doing",133
"89","end of the day",132
"90","hope everyone had a",132
"91","hope youre having a",132
"92","as long as you",130
"93","i have a feeling",130
"94","be one of the",128
"95","can you follow me",128
"96","hey thanks for the",127
"97","go back to sleep",126
"98","a great time at",124
"99","figure out how to",124
"100","find a way to",124
"101","glad you liked it",124
"102","forward to your tweets",123
"103","going to be in",123
"104","do i have to",122
"105","glad to hear it",122
"106","i dont give a",121
"107","back in the day",120
"108","i havent been on",120
"109","for the follow back",119
"110","a big fan of",118
"111","follow me i love",118
"112","i get to see",117
"113","getting ready for the",116
"114","had a great day",116
"115","and thank you for",115
"116","are you coming to",115
"117","gonna be a good",115
"118","had so much fun",115
"119","have no idea how",114
"120","happy birthday to the",113
"121","finished a mi run",111
"122","a mi run with",110
"123","cant wait to go",110
"124","be sure to check",109
"125","i had a great",109
"126","get a chance to",108
"127","i dont care what",108
"128","i have to do",108
"129","i have to get",108
"130","give us a call",107
"131","glad you enjoyed it",107
"132","hope you feel better",107
"133","best of luck to",106
"134","ha ha ha ha",106
"135","are you talking about",105
"136","happy cinco de mayo",105
"137","happy st patricks day",105
"138","i just need to",105
"139","glad you like it",104
"140","i cant wait till",104
"141","i had a dream",104
"142","a part of the",103
"143","i cant believe i",103
"144","i dont think so",103
"145","all i want is",102
"146","but i have to",102
"147","dont give a fuck",102
"148","get out of the",102
"149","had a good time",102
"150","for a few days",101
"151","a hell of a",100
"152","for spreading the word",100
"153","i am so excited",100
"154","at the top of",99
"155","chance to win a",99
"156","had a great weekend",99
"157","and i love you",98
"158","are you ready for",98
"159","do you think of",97
"160","dont want to go",97
"161","for a long time",97
"162","i dont have any",97
"163","a beautiful day in",96
"164","a little bit of",96
"165","all i want to",96
"166","dont even know what",96
"167","i dont care if",96
"168","all i can say",95
"169","can you please follow",95
"170","check out the new",95
"171","how i feel about",95
"172","i dont feel like",95
"173","fall in love with",94
"174","all my new followers",93
"175","but i dont know",93
"176","cake cake cake cake",93
"177","i feel bad for",92
"178","a bit of a",91
"179","all of a sudden",91
"180","all over the place",91
"181","are a lot of",91
"182","hunter matt hunter matt",91
"183","i hope you are",91
"184","all is well with",90
"185","am i supposed to",90
"186","do you have to",90
"187","feel the same way",90
"188","get out of bed",90
"189","great way to start",90
"190","hope everyone is having",90
"191","i didnt know you",90
"192","i dont understand why",90
"193","a good way to",89
"194","at in the morning",89
"195","be able to get",89
"196","but i dont think",89
"197","cant wait to be",89
"198","do you know what",89
"199","everyone is having a",89
"200","i cant wait until",89
"201","i hate when i",89
"202","and the rest of",88
"203","as long as i",88
"204","check out our new",88
"205","having a great day",88
"206","i have to be",88
"207","cant wait to read",87
"208","i dont get it",87
"209","for the rt and",86
"210","got a lot of",86
"211","happy new year to",86
"212","have a wonderful day",86
"213","did a great job",85
"214","for the ff love",85
"215","a great day to",84
"216","all the way to",84
"217","every time i see",84
"218","i have so much",84
"219","dancing with the stars",83
"220","dont have to be",83
"221","dont know if i",83
"222","for all you do",83
"223","having a great time",83
"224","i just saw a",83
"225","i could be there",82
"226","i have a lot",82
"227","able to make it",81
"228","are you kidding me",81
"229","be a great day",81
"230","do you know how",81
"231","follow me on twitter",81
"232","for the follow we",81
"233","have a good weekend",81
"234","have you seen the",81
"235","i get a follow",81
"236","do you think about",80
"237","for all of the",80
"238","going to be on",80
"239","i am not a",80
"240","i can go to",80
"241","and i cant wait",79
"242","are looking forward to",79
"243","i just got a",79
"244","are you up to",78
"245","been a while since",78
"246","get real rewards just",78
"247","getting ready to go",78
"248","good to be back",78
"249","have a blessed day",78
"250","i didnt even know",78
"251","going to see the",77
"252","and i have to",76
"253","and i love it",76
"254","do i need to",76
"255","do you think the",76
"256","feels good to be",76
"257","good morning to you",76
"258","have a good night",76
"259","hope you are well",76
"260","how do i get",76
"261","how do you know",76
"262","how was your day",76
"263","a glass of wine",75
"264","awkward moment when your",75
"265","follow us on twitter",75
"266","glad to see you",75
"267","going to be so",75
"268","i agree with you",75
"269","i dont think you",75
"270","i have a new",75
"271","and i have a",74
"272","and i will be",74
"273","are we going to",74
"274","day of the week",74
"275","dont get me wrong",74
"276","for all of your",74
"277","for some reason i",74
"278","get back to you",74
"279","have a good time",74
"280","hope you are having",74
"281","i just have to",74
"282","a couple of weeks",73
"283","come up with a",73
"284","congrats on the new",73
"285","good luck with the",73
"286","i just found out",73
"287","a lot of work",72
"288","an eye out for",72
"289","end of the month",72
"290","glad to hear you",72
"291","going to be an",72
"292","have a great night",72
"293","i am so happy",72
"294","i am trying to",72
"295","a shout out to",71
"296","am looking forward to",71
"297","and looking forward to",71
"298","did you see the",71
"299","everyone had a great",71
"300","for letting me know",71
"301","good luck to all",71
"302","i dont know about",71
"303","are looking for a",70
"304","been a long time",70
"305","cant wait to watch",70
"306","dont think i can",70
"307","glad to have you",70
"308","going to have a",70
"309","hour and a half",70
"310","i can get a",70
"311","i just met you",70
"312","a great day for",69
"313","and this is crazy",69
"314","following me on twitter",69
"315","get a follow back",69
"316","a copy of the",68
"317","a few years ago",68
"318","a huge fan of",68
"319","all i need is",68
"320","all over the world",68
"321","but i have a",68
"322","dont wanna go to",68
"323","for the st time",68
"324","havent been on twitter",68
"325","how many of you",68
"326","i can say is",68
"327","i can tell you",68
"328","i can think of",68
"329","i cant help but",68
"330","i have the best",68
"331","and i was like",67
"332","are you trying to",67
"333","cant stop listening to",67
"334","end of the world",67
"335","gonna be a long",67
"336","i can make it",67
"337","and have a great",66
"338","and i dont know",66
"339","as much as you",66
"340","but i dont want",66
"341","cant wait for this",66
"342","gonna be a great",66
"343","i didnt get to",66
"344","i dont think its",66
"345","and i want to",65
"346","are you doing to",65
"347","be a long day",65
"348","be part of the",65
"349","but i want to",65
"350","end of the year",65
"351","forward to a great",65
"352","have a nice day",65
"353","havent talked to you",65
"354","hey i just met",65
"355","i have ever seen",65
"356","a great place to",64
"357","all i have to",64
"358","and let us know",64
"359","be a good one",64
"360","cabin in the woods",64
"361","follow me please i",64
"362","for the follow hope",64
"363","get out of my",64
"364","glad to hear that",64
"365","go back to school",64
"366","go back to the",64
"367","going to be at",64
"368","had a lot of",64
"369","how old are you",64
"370","i got a new",64
"371","did you get your",63
"372","forward to meeting you",63
"373","from all of us",63
"374","good luck on your",63
"375","has nothing to do",63
"376","hope you can make",63
"377","hope you have an",63
"378","i dont wanna go",63
"379","i havent talked to",63
"380","i hope i get",63
"381","a lot of things",62
"382","be able to make",62
"383","cant wait to have",62
"384","cant wait to meet",62
"385","excited to see you",62
"386","fact of the day",62
"387","follow me i follow",62
"388","for the rt hope",62
"389","for those of you",62
"390","get the word out",62
"391","getting ready for a",62
"392","getting ready to head",62
"393","give it a try",62
"394","great time at the",62
"395","had a good day",62
"396","have a chance to",62
"397","have to do is",62
"398","hope youre doing well",62
"399","i am looking for",62
"400","i didnt want to",62
"401","a long time ago",61
"402","a lot of time",61
"403","about to go to",61
"404","before i go to",61
"405","come check us out",61
"406","do not want to",61
"407","fell in love with",61
"408","going to try to",61
"409","has to be the",61
"410","have to worry about",61
"411","hope u have a",61
"412","i didnt have to",61
"413","i dont think ive",61
"414","i feel the same",61
"415","i have no clue",61
"416","i just had a",61
"417","all i can think",60
"418","and i know it",60
"419","brought to you by",60
"420","but im going to",60
"421","dont want to get",60
"422","for all of us",60
"423","happy th of july",60
"424","i got to see",60
"425","i have to wait",60
"426","all who came out",59
"427","but im not sure",59
"428","dont forget to follow",59
"429","dont know what i",59
"430","for coming out to",59
"431","for the love of",59
"432","have you checked out",59
"433","hope you are doing",59
"434","i dont wanna be",59
"435","and it will be",58
"436","be on the lookout",58
"437","big thank you to",58
"438","cant wait to start",58
"439","cant wait to try",58
"440","fill in the blank",58
"441","follow me on instagram",58
"442","for following me on",58
"443","forward to working with",58
"444","have an amazing day",58
"445","how do you feel",58
"446","how do you get",58
"447","i havent seen you",58
"448","i just saw the",58
"449","a fan of the",57
"450","a great time with",57
"451","a waste of time",57
"452","and cant wait to",57
"453","but i think i",57
"454","by the way i",57
"455","do you have an",57
"456","early in the morning",57
"457","every single one of",57
"458","everyone has a great",57
"459","follow looking forward to",57
"460","give me a shout",57
"461","happy birthday to you",57
"462","have to be a",57
"463","i dont know where",57
"464","i have a few",57
"465","a part of it",56
"466","all of us at",56
"467","but i dont have",56
"468","but you have to",56
"469","did you get a",56
"470","does anyone have a",56
"471","dont be afraid to",56
"472","dont know why i",56
"473","every time i hear",56
"474","first day of spring",56
"475","for all the support",56
"476","get ready for the",56
"477","happy birthday to me",56
"478","has a lot of",56
"479","i cant believe that",56
"480","i dont like it",56
"481","i have a question",56
"482","i have to work",56
"483","a big thank you",55
"484","a time of with",55
"485","all i want for",55
"486","be interesting to see",55
"487","be sure to follow",55
"488","be the death of",55
"489","cant wait for you",55
"490","crazy but heres my",55
"491","dont know how i",55
"492","follow me and i",55
"493","follow me back please",55
"494","for the follow love",55
"495","for your chance to",55
