"","term","Total"
"1","cant wait to",3499
"2","i love you",3391
"3","for the follow",3261
"4","going to be",3193
"5","i want to",2994
"6","a lot of",2598
"7","i have a",2440
"8","i need to",2428
"9","im going to",2376
"10","have a great",2239
"11","i have to",2078
"12","is going to",1955
"13","i dont know",1923
"14","for the rt",1898
"15","i cant wait",1692
"16","let me know",1679
"17","i wish i",1603
"18","i think i",1558
"19","i feel like",1531
"20","cant wait for",1497
"21","happy mothers day",1392
"22","a great day",1374
"23","in the world",1351
"24","it was a",1316
"25","how are you",1271
"26","i will be",1253
"27","i dont think",1248
"28","if you want",1201
"29","had a great",1165
"30","i miss you",1165
"31","do you have",1144
"32","do you think",1142
"33","dont want to",1141
"34","i need a",1126
"35","be able to",1115
"36","i had a",1060
"37","is the best",1048
"38","if you dont",1031
"39","go to the",1021
"40","if you are",1020
"41","check it out",1018
"42","i dont have",1014
"43","if you have",981
"44","in the morning",961
"45","all the time",959
"46","i hope you",948
"47","i love it",935
"48","let us know",935
"49","have a good",925
"50","it would be",917
"51","i love the",908
"52","i dont want",899
"53","i am so",890
"54","going to the",868
"55","i know i",852
"56","it will be",852
"57","for the first",846
"58","a good day",835
"59","a great time",826
"60","hope to see",822
"61","how do you",815
"62","a great weekend",809
"63","i have no",806
"64","i love my",801
"65","its going to",792
"66","are going to",789
"67","have to be",766
"68","be sure to",762
"69","in my life",758
"70","end of the",748
"71","in front of",746
"72","happy birthday to",743
"73","check out the",740
"74","i think its",739
"75","know how to",722
"76","dont forget to",718
"77","dont know what",703
"78","are you going",701
"79","for all the",699
"80","for the ff",698
"81","i used to",698
"82","all of the",695
"83","i am a",694
"84","i got a",693
"85","for the mention",692
"86","in love with",692
"87","happy new year",687
"88","i dont like",685
"89","i just want",682
"90","did you know",677
"91","is one of",676
"92","do you know",674
"93","at the end",673
"94","back to the",671
"95","i had to",663
"96","i cant believe",652
"97","as long as",651
"98","i was just",642
"99","i would love",630
"100","i think im",629
"101","be a good",627
"102","i am not",623
"103","as much as",622
"104","i hate when",622
"105","i get a",621
"106","just want to",621
"107","hope you have",620
"108","its time to",620
"109","is a great",607
"110","i love that",605
"111","go back to",603
"112","dont have to",602
"113","getting ready to",602
"114","but i dont",596
"115","a chance to",595
"116","a bunch of",594
"117","awkward moment when",593
"118","i get to",593
"119","is in the",588
"120","are you doing",580
"121","can i get",577
"122","a long time",574
"123","getting ready for",574
"124","i want a",571
"125","gonna be a",569
"126","i dont even",569
"127","for the next",564
"128","its been a",559
"129","i have been",555
"130","get out of",552
"131","i just got",552
"132","know if you",550
"133","at the same",548
"134","back in the",542
"135","i dont care",532
"136","if you need",531
"137","is not a",531
"138","it is a",531
"139","a couple of",530
"140","did you get",529
"141","have to go",529
"142","i wonder if",527
"143","check out our",526
"144","im not sure",526
"145","i love your",524
"146","its gonna be",520
"147","keep up the",514
"148","i know you",511
"149","be in the",510
"150","have no idea",510
"151","i can get",509
"152","id like to",509
"153","all the way",507
"154","for me to",502
"155","i was in",501
"156","let you know",500
"157","i think the",498
"158","if you can",496
"159","i am going",495
"160","in the middle",494
"161","i have the",492
"162","every time i",490
"163","are the best",488
"164","in a while",488
"165","go to sleep",487
"166","i like the",487
"167","in a few",487
"168","have you been",486
"169","is a good",485
"170","for you to",484
"171","i didnt know",483
"172","forward to seeing",479
"173","im pretty sure",477
"174","a part of",476
"175","hit me up",474
"176","i was a",474
"177","i think it",471
"178","for a great",470
"179","i think you",470
"180","and i will",468
"181","for a while",468
"182","i just saw",468
"183","have to do",466
"184","is there a",465
"185","follow me back",464
"186","i see you",464
"187","a good time",463
"188","dont know how",463
"189","great to see",462
"190","i thought it",462
"191","am going to",460
"192","im trying to",459
"193","and i dont",458
"194","but i think",457
"195","all is well",455
"196","forward to the",455
"197","give me a",455
"198","i can do",455
"199","be a great",453
"200","as soon as",451
"201","and i have",450
"202","if i can",447
"203","is such a",445
"204","going to get",444
"205","a way to",443
"206","for the shout",442
"207","i would have",441
"208","is on the",441
"209","id love to",440
"210","for following me",439
"211","follow me please",438
"212","im about to",438
"213","excited to see",436
"214","i thought i",435
"215","cinco de mayo",434
"216","i would be",434
"217","do you want",433
"218","how much i",433
"219","i wanted to",430
"220","in my head",429
"221","a good one",428
"222","i went to",428
"223","know what you",427
"224","a little bit",426
"225","for the day",425
"226","go to bed",425
"227","is gonna be",425
"228","i dont get",424
"229","day to all",422
"230","get back to",422
"231","i love this",422
"232","and i love",420
"233","i like to",418
"234","by the way",417
"235","i love u",414
"236","dont have a",412
"237","glad to hear",410
"238","going to see",409
"239","hope all is",408
"240","be on the",406
"241","be at the",405
"242","i know its",404
"243","in a row",404
"244","it to the",402
"245","a beautiful day",401
"246","has to be",401
"247","follow me i",400
"248","i love how",399
"249","and i am",398
"250","is the only",398
"251","it was great",398
"252","forward to it",397
"253","i like it",397
"254","but i have",396
"255","im not a",396
"256","but i cant",394
"257","is about to",394
"258","going to bed",393
"259","going to have",391
"260","i guess i",389
"261","have to get",388
"262","congrats on the",387
"263","i know right",387
"264","i would like",381
"265","all of you",379
"266","its a good",377
"267","for a new",376
"268","had a good",376
"269","feel free to",375
"270","i go to",375
"271","i wanna go",374
"272","in the us",373
"273","i think we",372
"274","if i was",372
"275","check us out",371
"276","feel like i",370
"277","i dont wanna",370
"278","and i are",368
"279","for the weekend",368
"280","and thanks for",367
"281","for the retweet",364
"282","hope you had",364
"283","is the most",363
"284","i got to",362
"285","im so excited",362
"286","hope you are",361
"287","i can see",361
"288","ill have to",359
"289","just wanted to",359
"290","last day of",359
"291","dont even know",357
"292","it looks like",356
"293","if i had",354
"294","in the house",354
"295","just got a",353
"296","all of my",352
"297","i really want",352
"298","all of our",350
"299","i do not",350
"300","going to do",349
"301","good to see",349
"302","i could be",349
"303","a few days",348
"304","in the same",348
"305","is like a",348
"306","it in the",347
"307","a fan of",346
"308","but it was",345
"309","i am in",345
"310","it is the",345
"311","just had a",345
"312","if i could",344
"313","in the first",344
"314","i live in",343
"315","for all of",342
"316","get ready for",342
"317","having a great",342
"318","a good thing",340
"319","best of luck",340
"320","know what to",340
"321","have to say",339
"322","for the support",338
"323","i thought you",338
"324","ill be there",336
"325","just have to",336
"326","but i am",335
"327","come to the",335
"328","i think that",334
"329","in order to",334
"330","i havent been",331
"331","as well as",330
"332","for the new",330
"333","i just wanna",330
"334","chance to win",328
"335","i just dont",328
"336","and i cant",327
"337","be the best",327
"338","can do it",326
"339","get to see",326
"340","all of us",325
"341","for some reason",325
"342","is your favorite",324
"343","just saw a",324
"344","for a few",322
"345","excited to be",321
"346","and it was",320
"347","its hard to",320
"348","i know im",319
"349","for the rest",317
"350","i was there",317
"351","i was thinking",317
"352","in the past",316
"353","great way to",315
"354","i know it",315
"355","i should be",314
"356","in your life",313
"357","and thank you",312
"358","good luck to",311
"359","check out my",310
"360","feel like im",310
"361","first day of",310
"362","i was like",310
"363","its time for",310
"364","i have an",309
"365","i need some",309
"366","all i want",307
"367","it should be",307
"368","dont know if",306
"369","i dont understand",305
"370","i know what",305
"371","i cant even",304
"372","i look forward",304
"373","i really dont",303
"374","it comes to",303
"375","back to work",301
"376","cant wait till",301
"377","in new york",301
"378","keep it up",301
"379","its all about",300
"380","and i was",299
"381","have a wonderful",299
"382","it was so",299
"383","its a great",299
"384","do you like",298
"385","i know that",298
"386","but im not",297
"387","i miss my",297
"388","in the face",297
"389","for your support",296
"390","all over the",295
"391","day of the",294
"392","i got my",294
"393","do the same",293
"394","i wont be",293
"395","just found out",293
"396","a good idea",292
"397","best way to",291
"398","i really need",291
"399","if you cant",291
"400","if you like",291
"401","it was the",291
"402","feel like a",290
"403","i still have",290
"404","if you were",289
"405","join us for",289
"406","and have a",288
"407","forward to your",288
"408","i feel so",288
"409","in the next",288
"410","in the studio",288
"411","about to get",287
"412","and i just",287
"413","have you ever",287
"414","i was going",287
"415","it is not",287
"416","in the car",286
"417","in the future",286
"418","i wish you",285
"419","good to be",284
"420","if you do",284
"421","but i love",283
"422","excited for the",283
"423","glad to see",283
"424","i hate it",283
"425","for more info",282
"426","how do i",282
"427","i havent seen",282
"428","if you love",282
"429","hate it when",281
"430","i hope i",281
"431","i should have",281
"432","it makes me",280
"433","about to go",279
"434","im in the",279
"435","learn how to",278
"436","a ton of",277
"437","are you in",277
"438","if you could",277
"439","have a lot",276
"440","a great night",275
"441","had a blast",275
"442","here we go",275
"443","i was at",274
"444","last night i",274
"445","if i dont",273
"446","happy valentines day",272
"447","have you seen",272
"448","in the city",272
"449","but if you",271
"450","go to school",271
"451","know what i",271
"452","last night was",271
"453","are in the",270
"454","for the love",270
"455","just need to",270
"456","if you havent",268
"457","in the end",268
"458","can make it",267
"459","dont know why",266
"460","i didnt get",265
"461","is not the",265
"462","all of your",264
"463","at a time",263
"464","going to go",263
"465","have the best",263
"466","in san diego",263
"467","a long day",262
"468","here i come",262
"469","im so happy",262
"470","just woke up",262
"471","a shout out",261
"472","have a new",261
"473","i am the",261
"474","i wonder how",261
"475","i dont see",260
"476","i will never",260
"477","if you think",260
"478","and a half",259
"479","are you a",259
"480","for following us",259
"481","did you see",258
"482","good luck with",258
"483","i hate that",258
"484","i woke up",258
"485","a picture of",257
"486","give us a",257
"487","i got the",257
"488","in a long",257
"489","in the last",257
"490","in the s",257
"491","is better than",257
"492","it on the",257
"493","a great week",256
"494","day in the",256
"495","give you a",256
"496","is my favorite",256
"497","but i will",255
"498","for the great",255
"499","like a good",255
"500","come back to",254
"501","i like your",254
"502","i want you",254
"503","im ready to",253
"504","being able to",252
"505","for the rts",252
"506","has been a",252
"507","i told you",252
"508","glad you enjoyed",251
"509","i hate you",250
"510","i like that",250
"511","ill be in",250
"512","going to make",249
"513","i cant get",249
"514","a good night",248
"515","as good as",248
"516","can you please",247
"517","in the game",247
"518","is going on",246
"519","i will not",245
"520","is the first",245
"521","a bit of",244
"522","how did you",244
"523","i really like",244
"524","for the best",243
"525","are you guys",242
"526","i just cant",242
"527","i need more",242
"528","follow me on",241
"529","glad to be",241
"530","how about you",241
"531","at this point",240
"532","be one of",240
"533","i could have",240
"534","i just finished",240
"535","in a good",240
"536","in the office",240
"537","going to sleep",238
"538","hang out with",238
"539","is having a",238
"540","is it that",238
"541","it has been",238
"542","a few weeks",237
"543","at the gym",237
"544","im in love",237
"545","are looking for",236
"546","back on the",236
"547","be with you",236
"548","get rid of",236
"549","i dont need",236
"550","for all your",235
"551","i try to",235
"552","follow me and",234
"553","for a good",234
"554","i will have",234
"555","its not a",234
"556","at the moment",233
"557","be back in",233
"558","i think my",233
"559","at least i",232
"560","does that mean",232
"561","first time in",232
"562","i hate the",231
"563","in need of",231
"564","is the new",231
"565","all i can",230
"566","i love her",230
"567","im not going",230
"568","just got back",230
"569","do i have",229
"570","i just need",229
"571","come up with",228
"572","have to wait",228
"573","havent been on",228
"574","i know the",228
"575","in the th",228
"576","is it just",228
"577","i cant stand",227
"578","i wonder what",227
"579","am i the",226
"580","good to know",226
"581","how was your",226
"582","in honor of",226
"583","in this world",226
"584","but i know",225
"585","dont think i",225
"586","great to meet",225
"587","in the mail",225
"588","a lot more",224
"589","are you coming",224
"590","be a part",224
"591","go to a",224
"592","i love when",224
"593","i wanna be",224
"594","its a beautiful",224
"595","and get a",223
"596","he is a",223
"597","i had the",223
"598","if you ever",223
"599","im ready for",223
"600","just trying to",223
"601","how can i",222
"602","day at the",221
"603","i the only",221
"604","just got my",221
"605","and i know",220
"606","and we will",220
"607","happy to be",220
"608","is so much",220
"609","in the air",219
"610","is that a",219
"611","lets do it",219
"612","have been a",218
"613","i didnt even",218
"614","i wanna see",218
"615","is why i",218
"616","just saw the",218
"617","birthday to my",217
"618","but it is",217
"619","for the kind",217
"620","give it a",217
"621","im so glad",217
"622","last night and",217
"623","be the same",216
"624","had no idea",216
"625","i can be",216
"626","i can go",216
"627","could be a",215
"628","do you do",215
"629","congrats on your",214
"630","for the last",214
"631","glad you like",214
"632","good for you",214
"633","coming to the",213
"634","i cant stop",213
"635","if youre not",213
"636","is coming to",213
"637","are having a",212
"638","does anyone know",212
"639","hey thanks for",212
"640","how to make",212
"641","i may have",212
"642","if it was",212
"643","ill let you",212
"644","but i still",211
"645","for coming out",211
"646","i hope the",211
"647","in the rain",211
"648","a pair of",210
"649","everyone who came",210
"650","going back to",210
"651","i get it",210
"652","i think they",210
"653","if we can",210
"654","in the mood",210
"655","just finished a",210
"656","and if you",209
"657","around the corner",209
"658","i got it",209
"659","and i think",208
"660","but i can",208
"661","go to work",208
"662","heading to the",208
"663","im looking for",208
"664","last time i",208
"665","and this is",207
"666","for a week",207
"667","i get the",207
"668","ive ever seen",207
"669","and now i",206
"670","because of the",206
"671","glad you liked",206
"672","got a new",206
"673","in the day",206
"674","it feels like",206
"675","its all good",206
"676","and all the",205
"677","is just a",205
"678","be a long",204
"679","everyone has a",204
"680","i know how",204
"681","i wake up",204
"682","i was so",204
"683","if i have",204
"684","are you ready",203
"685","i didnt have",203
"686","it to be",203
"687","lets get it",203
"688","a few hours",202
"689","dont get it",202
"690","im bout to",202
"691","in the back",202
"692","in the works",202
"693","a great way",201
"694","call me maybe",201
"695","have to make",201
"696","i cant sleep",201
"697","i dont feel",201
"698","i love to",201
"699","i think ill",201
"700","im glad you",201
"701","ha ha ha",200
"702","how many times",200
"703","i got you",200
"704","i have never",200
