"","term","Total"
"1","the",396888
"2","you",229688
"3","and",183454
"4","for",162790
"5","that",98795
"6","with",73458
"7","your",72616
"8","have",71410
"9","this",69065
"10","are",66739
"11","just",63504
"12","but",52605
"13","not",52268
"14","like",51272
"15","its",51143
"16","all",50816
"17","was",49950
"18","out",48449
"19","get",47558
"20","what",46851
"21","love",44753
"22","good",42271
"23","will",40091
"24","day",38387
"25","about",38343
"26","dont",38046
"27","can",37784
"28","thanks",37651
"29","from",35313
"30","now",34797
"31","when",34630
"32","one",34063
"33","know",33332
"34","time",31712
"35","great",31668
"36","how",31601
"37","today",30214
"38","new",29473
"39","they",29037
"40","lol",28442
"41","see",28437
"42","more",26490
"43","our",26094
"44","some",26040
"45","there",25700
"46","too",24839
"47","back",24215
"48","got",23694
"49","going",23476
"50","who",23153
"51","cant",22860
"52","think",22770
"53","would",22010
"54","people",21789
"55","need",21620
"56","happy",20458
"57","want",20200
"58","follow",20075
"59","make",19990
"60","well",19585
"61","right",19408
"62","has",19368
"63","really",18997
"64","were",18851
"65","much",18792
"66","been",18656
"67","tonight",18616
"68","had",17857
"69","work",17705
"70","thats",17605
"71","come",17055
"72","only",16928
"73","night",16867
"74","did",16829
"75","youre",16588
"76","them",16511
"77","thank",16451
"78","why",16244
"79","still",16082
"80","last",15635
"81","here",15563
"82","way",15498
"83","best",15322
"84","should",15311
"85","off",15173
"86","hope",14717
"87","his",14255
"88","her",14254
"89","never",14197
"90","life",13866
"91","ill",13800
"92","then",13787
"93","say",13611
"94","than",13510
"95","first",13227
"96","show",13113
"97","over",13109
"98","next",13029
"99","game",12722
"100","please",12677
"101","better",12655
"102","twitter",12634
"103","she",12540
"104","always",12324
"105","week",11963
"106","yes",11963
"107","their",11946
"108","take",11783
"109","tomorrow",11741
"110","down",11671
"111","him",11550
"112","any",11548
"113","wait",11375
"114","man",11289
"115","year",11188
"116","where",11177
"117","haha",11167
"118","morning",11162
"119","could",11008
"120","getting",10977
"121","even",10783
"122","very",10697
"123","hey",10696
"124","everyone",10664
"125","looking",10571
"126","sure",10526
"127","ever",10523
"128","feel",10419
"129","look",10418
"130","awesome",10383
"131","ive",10273
"132","home",10118
"133","big",10079
"134","after",9975
"135","let",9964
"136","being",9902
"137","because",9691
"138","fun",9630
"139","keep",9556
"140","weekend",9410
"141","nice",9351
"142","something",9262
"143","again",9198
"144","into",9137
"145","thing",9079
"146","gonna",9056
"147","yeah",9012
"148","guys",9000
"149","doing",8994
"150","things",8921
"151","someone",8773
"152","world",8773
"153","didnt",8743
"154","school",8740
"155","bad",8692
"156","those",8510
"157","check",8442
"158","free",8439
"159","miss",8395
"160","help",8393
"161","every",8387
"162","does",8310
"163","live",8288
"164","watching",8283
"165","amazing",8240
"166","soon",8206
"167","other",8200
"168","tell",8189
"169","coming",8097
"170","give",8094
"171","music",8074
"172","days",8051
"173","long",8050
"174","tweet",8048
"175","little",8040
"176","before",8004
"177","call",7976
"178","whats",7966
"179","many",7915
"180","friends",7892
"181","may",7879
"182","stop",7816
"183","most",7785
"184","made",7719
"185","hate",7689
"186","wish",7683
"187","lets",7680
"188","same",7644
"189","said",7573
"190","ready",7511
"191","done",7488
"192","start",7468
"193","girl",7424
"194","shit",7305
"195","cool",7277
"196","find",7187
"197","god",7147
"198","play",7121
"199","pretty",7047
"200","two",7018
"201","another",7000
"202","watch",6941
"203","birthday",6895
"204","anyone",6884
"205","also",6861
"206","old",6839
"207","win",6834
"208","real",6802
"209","talk",6754
"210","these",6724
"211","use",6633
"212","excited",6605
"213","hard",6500
"214","friday",6497
"215","try",6457
"216","having",6416
"217","working",6410
"218","thought",6326
"219","around",6311
"220","hear",6285
"221","doesnt",6230
"222","while",6230
"223","sorry",6206
"224","team",6195
"225","years",6180
"226","already",6096
"227","put",6067
"228","wanna",6041
